Sexo;Categoria;Tempo Final;Ritmo;Distancia
Feminino;18-24;0:29:42.00;05:56;5
Feminino;40-44;0:29:42.10;05:56;5
Masculino;40-44;0:29:44.84;05:57;5
Masculino;25-34;0:29:46.63;05:57;5
Masculino;35-39;0:29:49.41;05:58;5
Feminino;35-39;0:29:49.79;05:58;5
Feminino;25-34;0:29:50.19;05:58;5
Feminino;40-44;0:29:52.02;05:58;5
Masculino;35-39;0:29:52.30;05:58;5
Feminino;35-39;0:29:53.41;05:59;5
Masculino;55-59;0:29:53.44;05:59;5
Masculino;55-59;0:29:56.48;05:59;5
Feminino;25-34;0:30:00.42;06:00;5
Feminino;25-34;0:30:01.32;06:00;5
Feminino;35-39;0:30:01.65;06:00;5
Feminino;18-24;0:30:02.77;06:01;5
Masculino;25-34;0:30:03.52;06:01;5
Masculino;35-39;0:30:05.24;06:01;5
Feminino;40-44;0:30:05.45;06:01;5
Masculino;18-24;0:30:05.79;06:01;5
Masculino;25-34;0:30:06.11;06:01;5
Feminino;18-24;0:30:06.60;06:01;5
Masculino;35-39;0:30:07.65;06:01;5
Masculino;35-39;0:30:07.94;06:01;5
Feminino;45-49;0:30:07.98;06:01;5
Masculino;25-34;0:30:08.18;06:02;5
Feminino;FF;0:30:09.23;06:02;5
Feminino;18-24;0:30:09.90;06:02;5
Feminino;45-49;0:30:11.95;06:02;5
Masculino;45-49;0:30:12.64;06:02;5
Masculino;55-59;0:30:19.02;06:04;5
Feminino;60-64;0:30:20.87;06:04;5
Feminino;25-34;0:30:21.26;06:04;5
Masculino;50-54;0:30:24.20;06:05;5
Feminino;25-34;0:30:24.45;06:05;5
Feminino;35-39;0:30:24.64;06:05;5
Masculino;18-24;0:30:24.92;06:05;5
Masculino;60-64;0:30:26.66;06:05;5
Feminino;25-34;0:30:27.16;06:05;5
Feminino;40-44;0:30:29.44;06:06;5
Feminino;60-64;0:30:30.45;06:06;5
Feminino;55-59;0:30:31.28;06:06;5
Masculino;60-64;0:30:33.37;06:07;5
Feminino;18-24;0:30:33.51;06:07;5
Masculino;35-39;0:30:33.98;06:07;5
Feminino;25-34;0:30:34.18;06:07;5
Feminino;18-24;0:30:35.27;06:07;5
Masculino;35-39;0:30:35.46;06:07;5
Masculino;45-49;0:30:35.91;06:07;5
Masculino;25-34;0:30:38.11;06:08;5
Masculino;25-34;0:30:41.22;06:08;5
Feminino;35-39;0:30:41.51;06:08;5
Masculino;65-69;0:30:44.38;06:09;5
Masculino;55-59;0:30:44.38;06:09;5
Masculino;45-49;0:30:46.90;06:09;5
Masculino;35-39;0:30:47.66;06:10;5
Feminino;40-44;0:30:49.03;06:10;5
Masculino;25-34;0:30:49.43;06:10;5
Feminino;50-54;0:30:50.54;06:10;5
Masculino;60-64;0:30:55.26;06:11;5
Feminino;35-39;0:30:56.26;06:11;5
Masculino;25-34;0:30:58.10;06:11;5
Feminino;25-34;0:30:59.44;06:12;5
Feminino;25-34;0:30:59.78;06:12;5
Masculino;70-74;0:30:59.84;06:12;5
Masculino;35-39;0:31:00.68;06:12;5
Masculino;40-44;0:31:01.35;06:12;5
Feminino;25-34;0:31:01.42;06:12;5
Feminino;45-49;0:31:01.85;06:12;5
Feminino;35-39;0:31:03.05;06:13;5
Masculino;40-44;0:31:03.52;06:13;5
Feminino;35-39;0:31:03.97;06:13;5
Masculino;65-69;0:31:04.60;06:13;5
Masculino;18-24;0:31:08.21;06:14;5
Feminino;25-34;0:31:11.97;06:14;5
Feminino;18-24;0:31:12.45;06:14;5
Masculino;40-44;0:31:13.79;06:14;5
Feminino;40-44;0:31:14.90;06:15;5
Masculino;65-69;0:31:15.63;06:15;5
Masculino;65-69;0:31:16.51;06:15;5
Feminino;25-34;0:31:16.61;06:15;5
Feminino;40-44;0:31:17.14;06:16;5
Feminino;45-49;0:31:17.27;06:16;5
Masculino;18-24;0:31:17.62;06:16;5
Masculino;55-59;0:31:18.87;06:16;5
Masculino;70-74;0:31:19.84;06:16;5
Masculino;35-39;0:31:19.99;06:16;5
Feminino;25-34;0:31:22.59;06:16;5
Feminino;65-69;0:31:23.38;06:17;5
Masculino;40-44;0:31:23.95;06:17;5
Masculino;40-44;0:31:24.06;06:17;5
Masculino;40-44;0:31:25.26;06:17;5
Masculino;45-49;0:31:25.55;06:17;5
Feminino;35-39;0:31:27.46;06:17;5
Feminino;25-34;0:31:31.20;06:18;5
Masculino;25-34;0:31:31.50;06:18;5
Masculino;25-34;0:31:33.45;06:19;5
Feminino;65-69;0:31:34.63;06:19;5
Feminino;25-34;0:31:35.37;06:19;5
Feminino;25-34;0:31:35.82;06:19;5
Feminino;40-44;0:31:35.88;06:19;5
Masculino;25-34;0:31:35.94;06:19;5
Feminino;25-34;0:31:37.46;06:19;5
Feminino;35-39;0:31:41.74;06:20;5
Feminino;25-34;0:31:42.04;06:20;5
Feminino;18-24;0:31:42.86;06:20;5
Masculino;55-59;0:31:42.87;06:20;5
Masculino;65-69;0:31:45.78;06:21;5
Feminino;25-34;0:31:46.04;06:21;5
Feminino;25-34;0:31:46.73;06:21;5
Feminino;40-44;0:31:46.89;06:21;5
Feminino;35-39;0:31:47.81;06:22;5
Masculino;35-39;0:31:49.79;06:22;5
Masculino;50-54;0:31:51.52;06:22;5
Masculino;35-39;0:31:51.75;06:22;5
Masculino;45-49;0:31:52.33;06:22;5
Feminino;25-34;0:31:54.91;06:23;5
Feminino;55-59;0:31:55.00;06:23;5
Feminino;25-34;0:31:56.83;06:23;5
Masculino;25-34;0:31:59.31;06:24;5
Feminino;25-34;0:32:00.45;06:24;5
Masculino;25-34;0:32:00.91;06:24;5
Feminino;55-59;0:32:04.10;06:25;5
Masculino;55-59;0:32:04.77;06:25;5
Feminino;35-39;0:32:05.06;06:25;5
Masculino;75+;0:32:06.17;06:25;5
Feminino;40-44;0:32:06.49;06:25;5
Feminino;25-34;0:32:06.98;06:25;5
Feminino;25-34;0:32:08.03;06:26;5
Feminino;25-34;0:32:08.58;06:26;5
Masculino;25-34;0:32:08.59;06:26;5
Feminino;25-34;0:32:10.37;06:26;5
Feminino;40-44;0:32:13.92;06:26;5
Masculino;25-34;0:32:13.92;06:26;5
Masculino;50-54;0:32:14.64;06:27;5
Feminino;40-44;0:32:16.05;06:27;5
Feminino;25-34;0:32:16.59;06:27;5
Feminino;55-59;0:32:17.18;06:28;5
